title,apr
5/15/2025,18.8522
5/16/2025,18.8533
5/17/2025,18.9837
5/18/2025,18.8724
5/19/2025,18.8391
5/20/2025,18.8484
5/21/2025,18.8506
5/22/2025,18.8666
5/23/2025,18.8808
5/24/2025,18.886
5/25/2025,18.8907
5/26/2025,18.9012
5/27/2025,18.9058
5/28/2025,18.9079
5/29/2025,18.9161
5/30/2025,18.9093
5/31/2025,18.8928
6/1/2025,18.8999
6/2/2025,18.9512
6/3/2025,18.9537
6/4/2025,18.966
6/5/2025,18.9666
6/6/2025,18.9697
6/7/2025,18.9838
6/8/2025,19.1502
6/9/2025,19.1573
6/10/2025,19.173
6/11/2025,19.1742
6/12/2025,19.19
6/13/2025,19.1987
6/14/2025,19.1992
6/15/2025,19.2325
6/16/2025,19.2175
6/17/2025,19.2072
6/18/2025,19.1905
6/19/2025,19.2096
6/20/2025,19.2252
6/21/2025,19.2295
6/22/2025,19.2244
6/23/2025,19.5518
6/24/2025,19.5539
6/25/2025,19.5743
6/26/2025,19.5743
6/27/2025,19.5999
6/28/2025,19.5851
6/29/2025,19.5913
6/30/2025,19.7011
7/1/2025,19.6698
7/2/2025,19.6946
7/3/2025,19.6931
7/4/2025,19.71
7/5/2025,19.6458
7/6/2025,19.6282
7/7/2025,18.909
7/8/2025,19.3298
7/9/2025,19.2465
7/10/2025,19.0605
7/11/2025,19.0536
7/12/2025,19.0371
7/13/2025,19.0574
7/14/2025,19.1198
7/15/2025,19.1039
7/16/2025,19.0836
7/17/2025,19.0867
7/18/2025,19.0909
7/19/2025,18.9829
7/20/2025,18.9678
7/21/2025,18.9916
7/22/2025,19.0044
7/23/2025,19.1129
7/24/2025,19.1089
7/25/2025,19.1153
7/26/2025,19.114
7/27/2025,19.1155
7/28/2025,19.1262
7/29/2025,19.1274
7/30/2025,19.1292
7/31/2025,19.165
8/1/2025,19.1687
8/2/2025,19.1666
8/3/2025,19.1673
8/4/2025,19.1655
8/5/2025,19.1684
8/6/2025,19.0853
8/7/2025,19.0874
8/8/2025,19.1994
8/9/2025,19.2201
8/10/2025,19.3803
8/11/2025,20.8031
8/12/2025,20.7369
8/13/2025,20.5687
8/14/2025,20.5906
